"","S4","S39","S1","S34","S23","S43","S14","S18","S33","S21","S41","S10","S7","S9","S15","S40","S25","S47","S12","S54","S89","S51","S84","S73","S93","S64","S68","S83","S71","S91","S60","S57","S59","S65","S90","S75","S97","S62","S86","S98","S70","S53","S56","S99","S76","S77","S81","S79","S72","S82","S74","S58","S85","S87","S88","S95","S69","S92","S96","S78","S63","S104","S139","S101","S134","S123","S143","S114","S118","S133","S121","S141","S110","S107","S109","S115","S140","S125","S147","S112","S136","S148","S120","S103","S106","S149","S126","S127","S131","S129","S122"
"Tm2d2",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Lacc1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"Gm16062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6330418K02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Slc26a4",0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
"Ccdc163",0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dnajc9",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmeff2",4,4,13,9,8,2,0,1,3,2,6,7,5,5,11,5,3,4,8,3,6,5,2,1,7,8,2,9,8,3,16,5,8,9,5,7,2,9,3,16,6,4,4,10,5,6,2,8,7,8,10,3,1,7,10,12,11,10,4,4,0,3,10,4,7,2,2,4,0,6,1,6,5,5,5,6,2,15,3,4,6,7,0,4,3,3,1,4,4,6,5
"Camk2d",0,1,3,0,4,0,1,5,1,2,2,0,3,10,0,1,1,3,1,0,2,2,0,0,2,0,2,4,0,1,3,3,5,0,0,3,1,0,0,0,0,2,0,1,1,0,2,1,6,2,3,0,0,1,1,3,2,1,2,1,0,2,0,1,1,1,2,0,2,2,4,1,2,5,1,4,3,3,1,0,2,4,1,2,0,1,1,3,2,1,1
"Gpr35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
